Latex,Mathml,Description
,&#x00020;,SPACE
,&#x029AB;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT
,&#x029AC;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP
,&#x029AD;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP
,&#x029AE;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN
,&#x029AF;,MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN
,&#x029B0;,REVERSED EMPTY SET
,&#x029B1;,EMPTY SET WITH OVERBAR
,&#x029B2;,EMPTY SET WITH SMALL CIRCLE ABOVE
,&#x029B3;,EMPTY SET WITH RIGHT ARROW ABOVE
,&#x029B4;,EMPTY SET WITH LEFT ARROW ABOVE
,&#x029B5;,CIRCLE WITH HORIZONTAL BAR
,&#x029B6;,CIRCLED VERTICAL BAR
,&#x029B7;,CIRCLED PARALLEL
\circledbslash,&#x029B8;,CIRCLED REVERSE SOLIDUS
,&#x029B9;,CIRCLED PERPENDICULAR
,&#x029BA;,CIRCLE DIVIDED BY HORIZONTAL BAR AND TOP HALF DIVIDED BY VERTICAL BAR
,&#x029BB;,CIRCLE WITH SUPERIMPOSED X
,&#x029BC;,CIRCLED ANTICLOCKWISE-ROTATED DIVISION SIGN
,&#x029BD;,UP ARROW THROUGH CIRCLE
,&#x029BE;,CIRCLED WHITE BULLET
,&#x029BF;,CIRCLED BULLET
\circledless,&#x029C0;,CIRCLED LESS-THAN
\circledgtr,&#x029C1;,CIRCLED GREATER-THAN
,&#x029C2;,CIRCLE WITH SMALL CIRCLE TO THE RIGHT
,&#x029C3;,CIRCLE WITH TWO HORIZONTAL STROKES TO THE RIGHT
\boxslash,&#x029C4;,SQUARED RISING DIAGONAL SLASH
\boxbslash,&#x029C5;,SQUARED FALLING DIAGONAL SLASH
\boxast,&#x029C6;,SQUARED ASTERISK
\boxcircle,&#x029C7;,SQUARED SMALL CIRCLE
\boxbox,&#x029C8;,SQUARED SQUARE
,&#x029C9;,TWO JOINED SQUARES
,&#x029CA;,TRIANGLE WITH DOT ABOVE
,&#x029CB;,TRIANGLE WITH UNDERBAR
,&#x029CC;,S IN TRIANGLE
,&#x029CD;,TRIANGLE WITH SERIFS AT BOTTOM
,&#x029CE;,RIGHT TRIANGLE ABOVE LEFT TRIANGLE
\LeftTriangleBar,&#x029CF;,LEFT TRIANGLE BESIDE VERTICAL BAR
\RightTriangleBar,&#x029D0;,VERTICAL BAR BESIDE RIGHT TRIANGLE
,&#x029D1;,left black bowtie
,&#x029D2;,right black bowtie
,&#x029D3;,BLACK BOWTIE
,&#x029D4;,left black times
,&#x029D5;,right black times
,&#x029D6;,WHITE HOURGLASS
,&#x029D7;,BLACK HOURGLASS
,&#x029D8;,LEFT WIGGLY FENCE
,&#x029D9;,RIGHT WIGGLY FENCE
,&#x029DA;,LEFT DOUBLE WIGGLY FENCE
,&#x029DB;,RIGHT DOUBLE WIGGLY FENCE
,&#x029DC;,INCOMPLETE INFINITY
,&#x029DD;,TIE OVER INFINITY
,&#x029DE;,INFINITY NEGATED WITH VERTICAL BAR
\multimapboth,&#x029DF;,DOUBLE-ENDED MULTIMAP
,&#x029E0;,SQUARE WITH CONTOURED OUTLINE
,&#x029E1;,INCREASES AS
,&#x029E2;,SHUFFLE PRODUCT
,&#x029E3;,EQUALS SIGN AND SLANTED PARALLEL
,&#x029E4;,EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE
,&#x029E5;,IDENTICAL TO AND SLANTED PARALLEL
,&#x029E6;,GLEICH STARK
,&#x029E7;,THERMODYNAMIC
,&#x029E8;,DOWN-POINTING TRIANGLE WITH LEFT HALF BLACK
,&#x029E9;,DOWN-POINTING TRIANGLE WITH RIGHT HALF BLACK
,&#x029EA;,BLACK DIAMOND WITH DOWN ARROW
\blacklozenge,&#x029EB;,BLACK LOZENGE
,&#x029EC;,WHITE CIRCLE WITH DOWN ARROW
,&#x029ED;,BLACK CIRCLE WITH DOWN ARROW
,&#x029EE;,ERROR-BARRED WHITE SQUARE
,&#x029EF;,ERROR-BARRED BLACK SQUARE
,&#x029F0;,ERROR-BARRED WHITE DIAMOND
,&#x029F1;,ERROR-BARRED BLACK DIAMOND
,&#x029F2;,ERROR-BARRED WHITE CIRCLE
,&#x029F3;,ERROR-BARRED BLACK CIRCLE
,&#x029F4;,RULE-DELAYED
\setminus,&#x029F5;,REVERSE SOLIDUS OPERATOR
,&#x029F6;,SOLIDUS WITH OVERBAR
,&#x029F7;,REVERSE SOLIDUS WITH HORIZONTAL STROKE
,&#x029F8;,BIG SOLIDUS
\zhide,&#x029F9;,"= \hide (oz), BIG REVERSE SOLIDUS, z notation schema hiding"
,&#x029FA;,DOUBLE PLUS
,&#x029FB;,TRIPLE PLUS
,&#x029FC;,left pointing curved angle bracket
,&#x029FD;,right pointing curved angle bracket
,&#x029FE;,TINY
,&#x029FF;,MINY
\bigodot,&#x02A00;,N-ARY CIRCLED DOT OPERATOR
\bigoplus,&#x02A01;,N-ARY CIRCLED PLUS OPERATOR
\bigotimes,&#x02A02;,N-ARY CIRCLED TIMES OPERATOR
,&#x02A03;,N-ARY UNION OPERATOR WITH DOT
\biguplus,&#x02A04;,N-ARY UNION OPERATOR WITH PLUS
\bigsqcap,&#x02A05;,N-ARY SQUARE INTERSECTION OPERATOR
\bigsqcup,&#x02A06;,N-ARY SQUARE UNION OPERATOR
,&#x02A07;,TWO LOGICAL AND OPERATOR
,&#x02A08;,TWO LOGICAL OR OPERATOR
\varprod,&#x02A09;,N-ARY TIMES OPERATOR
,&#x02A0A;,MODULO TWO SUM
,&#x02A0B;,SUMMATION WITH INTEGRAL
\iiiint,&#x02A0C;,QUADRUPLE INTEGRAL OPERATOR
,&#x02A0D;,FINITE PART INTEGRAL
,&#x02A0E;,INTEGRAL WITH DOUBLE STROKE
\fint,&#x02A0F;,INTEGRAL AVERAGE WITH SLASH
,&#x02A10;,CIRCULATION FUNCTION
,&#x02A11;,ANTICLOCKWISE INTEGRATION
,&#x02A12;,LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE
,&#x02A13;,LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE
,&#x02A14;,LINE INTEGRATION NOT INCLUDING THE POLE
,&#x02A15;,INTEGRAL AROUND A POINT OPERATOR
\sqint,&#x02A16;,"= \sqrint (wrisym), QUATERNION INTEGRAL OPERATOR"
,&#x02A17;,INTEGRAL WITH LEFTWARDS ARROW WITH HOOK
,&#x02A18;,INTEGRAL WITH TIMES SIGN
,&#x02A19;,INTEGRAL WITH INTERSECTION
,&#x02A1A;,INTEGRAL WITH UNION
,&#x02A1B;,INTEGRAL WITH OVERBAR
,&#x02A1C;,INTEGRAL WITH UNDERBAR
\Join,&#x02A1D;,JOIN
,&#x02A1E;,LARGE LEFT TRIANGLE OPERATOR
\zcmp,&#x02A1F;,"= \semi (oz), = \fatsemi (stmaryrd), Z NOTATION SCHEMA COMPOSITION"
\zpipe,&#x02A20;,Z NOTATION SCHEMA PIPING
\zproject,&#x02A21;,"= \project (oz), Z NOTATION SCHEMA PROJECTION"
,&#x02A22;,PLUS SIGN WITH SMALL CIRCLE ABOVE
,&#x02A23;,PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE
,&#x02A24;,PLUS SIGN WITH TILDE ABOVE
,&#x02A25;,PLUS SIGN WITH DOT BELOW
,&#x02A26;,PLUS SIGN WITH TILDE BELOW
,&#x02A27;,PLUS SIGN WITH SUBSCRIPT TWO
,&#x02A28;,PLUS SIGN WITH BLACK TRIANGLE
,&#x02A29;,MINUS SIGN WITH COMMA ABOVE
,&#x02A2A;,MINUS SIGN WITH DOT BELOW
,&#x02A2B;,MINUS SIGN WITH FALLING DOTS
,&#x02A2C;,MINUS SIGN WITH RISING DOTS
,&#x02A2D;,PLUS SIGN IN LEFT HALF CIRCLE
,&#x02A2E;,PLUS SIGN IN RIGHT HALF CIRCLE
,&#x02A2F;,"# \times, VECTOR OR CROSS PRODUCT"
,&#x02A30;,MULTIPLICATION SIGN WITH DOT ABOVE
,&#x02A31;,MULTIPLICATION SIGN WITH UNDERBAR
,&#x02A32;,SEMIDIRECT PRODUCT WITH BOTTOM CLOSED
,&#x02A33;,SMASH PRODUCT
,&#x02A34;,MULTIPLICATION SIGN IN LEFT HALF CIRCLE
,&#x02A35;,MULTIPLICATION SIGN IN RIGHT HALF CIRCLE
,&#x02A36;,CIRCLED MULTIPLICATION SIGN WITH CIRCUMFLEX ACCENT
,&#x02A37;,MULTIPLICATION SIGN IN DOUBLE CIRCLE
,&#x02A38;,CIRCLED DIVISION SIGN
,&#x02A39;,PLUS SIGN IN TRIANGLE
,&#x02A3A;,MINUS SIGN IN TRIANGLE
,&#x02A3B;,MULTIPLICATION SIGN IN TRIANGLE
,&#x02A3C;,INTERIOR PRODUCT
,&#x02A3D;,RIGHTHAND INTERIOR PRODUCT
\fcmp,&#x02A3E;,"= \comp (oz), Z NOTATION RELATIONAL COMPOSITION"
\amalg,&#x02A3F;,AMALGAMATION OR COPRODUCT
,&#x02A40;,INTERSECTION WITH DOT
,&#x02A41;,"UNION WITH MINUS SIGN, z notation bag subtraction"
,&#x02A42;,UNION WITH OVERBAR
,&#x02A43;,INTERSECTION WITH OVERBAR
,&#x02A44;,INTERSECTION WITH LOGICAL AND
,&#x02A45;,UNION WITH LOGICAL OR
,&#x02A46;,UNION ABOVE INTERSECTION
,&#x02A47;,INTERSECTION ABOVE UNION
,&#x02A48;,UNION ABOVE BAR ABOVE INTERSECTION
,&#x02A49;,INTERSECTION ABOVE BAR ABOVE UNION
,&#x02A4A;,UNION BESIDE AND JOINED WITH UNION
,&#x02A4B;,INTERSECTION BESIDE AND JOINED WITH INTERSECTION
,&#x02A4C;,CLOSED UNION WITH SERIFS
,&#x02A4D;,CLOSED INTERSECTION WITH SERIFS
,&#x02A4E;,DOUBLE SQUARE INTERSECTION
,&#x02A4F;,DOUBLE SQUARE UNION
,&#x02A50;,CLOSED UNION WITH SERIFS AND SMASH PRODUCT
,&#x02A51;,LOGICAL AND WITH DOT ABOVE
,&#x02A52;,LOGICAL OR WITH DOT ABOVE
,&#x02A53;,DOUBLE LOGICAL AND
,&#x02A54;,DOUBLE LOGICAL OR
,&#x02A55;,TWO INTERSECTING LOGICAL AND
,&#x02A56;,TWO INTERSECTING LOGICAL OR
,&#x02A57;,SLOPING LARGE OR
,&#x02A58;,SLOPING LARGE AND
,&#x02A59;,LOGICAL OR OVERLAPPING LOGICAL AND
,&#x02A5A;,LOGICAL AND WITH MIDDLE STEM
,&#x02A5B;,LOGICAL OR WITH MIDDLE STEM
,&#x02A5C;,ogical and with horizontal dash
,&#x02A5D;,LOGICAL OR WITH HORIZONTAL DASH
\doublebarwedge,&#x02A5E;,LOGICAL AND WITH DOUBLE OVERBAR
,&#x02A5F;,LOGICAL AND WITH UNDERBAR
,&#x02A60;,LOGICAL AND WITH DOUBLE UNDERBAR
,&#x02A61;,SMALL VEE WITH UNDERBAR
,&#x02A62;,LOGICAL OR WITH DOUBLE OVERBAR
,&#x02A63;,LOGICAL OR WITH DOUBLE UNDERBAR
\dsub,&#x02A64;,"= \ndres (oz), Z NOTATION DOMAIN ANTIRESTRICTION"
\rsub,&#x02A65;,"= \nrres (oz), Z NOTATION RANGE ANTIRESTRICTION"
,&#x02A66;,EQUALS SIGN WITH DOT BELOW
,&#x02A67;,IDENTICAL WITH DOT ABOVE
,&#x02A68;,TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE
,&#x02A69;,TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE
,&#x02A6A;,TILDE OPERATOR WITH DOT ABOVE
,&#x02A6B;,TILDE OPERATOR WITH RISING DOTS
,&#x02A6C;,SIMILAR MINUS SIMILAR
,&#x02A6D;,CONGRUENT WITH DOT ABOVE
,&#x02A6E;,EQUALS WITH ASTERISK
,&#x02A6F;,ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
,&#x02A70;,APPROXIMATELY EQUAL OR EQUAL TO
,&#x02A71;,EQUALS SIGN ABOVE PLUS SIGN
,&#x02A72;,PLUS SIGN ABOVE EQUALS SIGN
,&#x02A73;,EQUALS SIGN ABOVE TILDE OPERATOR
\Coloneqq,&#x02A74;,"# ::=, x \Coloneq (txfonts), DOUBLE COLON EQUAL"
\Equal,&#x02A75;,"# ==, TWO CONSECUTIVE EQUALS SIGNS"
\Same,&#x02A76;,"# ===, THREE CONSECUTIVE EQUALS SIGNS"
,&#x02A77;,EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
,&#x02A78;,EQUIVALENT WITH FOUR DOTS ABOVE
,&#x02A79;,LESS-THAN WITH CIRCLE INSIDE
,&#x02A7A;,GREATER-THAN WITH CIRCLE INSIDE
,&#x02A7B;,LESS-THAN WITH QUESTION MARK ABOVE
,&#x02A7C;,GREATER-THAN WITH QUESTION MARK ABOVE
\leqslant,&#x02A7D;,LESS-THAN OR SLANTED EQUAL TO
\geqslant,&#x02A7E;,GREATER-THAN OR SLANTED EQUAL TO
,&#x02A7F;,LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
,&#x02A80;,GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE
,&#x02A81;,LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
,&#x02A82;,GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE
,&#x02A83;,LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT
,&#x02A84;,GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT
\lessapprox,&#x02A85;,LESS-THAN OR APPROXIMATE
\gtrapprox,&#x02A86;,GREATER-THAN OR APPROXIMATE
\lneq,&#x02A87;,LESS-THAN AND SINGLE-LINE NOT EQUAL TO
\gneq,&#x02A88;,GREATER-THAN AND SINGLE-LINE NOT EQUAL TO
\lnapprox,&#x02A89;,LESS-THAN AND NOT APPROXIMATE
\gnapprox,&#x02A8A;,GREATER-THAN AND NOT APPROXIMATE
\lesseqqgtr,&#x02A8B;,LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN
\gtreqqless,&#x02A8C;,GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN
,&#x02A8D;,LESS-THAN ABOVE SIMILAR OR EQUAL
,&#x02A8E;,GREATER-THAN ABOVE SIMILAR OR EQUAL
,&#x02A8F;,LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN
,&#x02A90;,GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN
,&#x02A91;,LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL
,&#x02A92;,GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL
,&#x02A93;,LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL
,&#x02A94;,GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL
\eqslantless,&#x02A95;,SLANTED EQUAL TO OR LESS-THAN
\eqslantgtr,&#x02A96;,SLANTED EQUAL TO OR GREATER-THAN
,&#x02A97;,SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE
,&#x02A98;,SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE
,&#x02A99;,DOUBLE-LINE EQUAL TO OR LESS-THAN
,&#x02A9A;,DOUBLE-LINE EQUAL TO OR GREATER-THAN
,&#x02A9B;,DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN
,&#x02A9C;,DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN
,&#x02A9D;,SIMILAR OR LESS-THAN
,&#x02A9E;,SIMILAR OR GREATER-THAN
,&#x02A9F;,SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN
,&#x02AA0;,SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN
\NestedLessLess,&#x02AA1;,"= \lll (mathabx -amssymb), DOUBLE NESTED LESS-THAN"
\NestedGreaterGreater,&#x02AA2;,"= \ggg (mathabx -amssymb), DOUBLE NESTED GREATER-THAN"
,&#x02AA3;,double less-than with underbar
,&#x02AA4;,GREATER-THAN OVERLAPPING LESS-THAN
,&#x02AA5;,GREATER-THAN BESIDE LESS-THAN
\leftslice,&#x02AA6;,LESS-THAN CLOSED BY CURVE
\rightslice,&#x02AA7;,GREATER-THAN CLOSED BY CURVE
,&#x02AA8;,LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
,&#x02AA9;,GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL
,&#x02AAA;,SMALLER THAN
,&#x02AAB;,LARGER THAN
,&#x02AAC;,SMALLER THAN OR EQUAL TO
,&#x02AAD;,LARGER THAN OR EQUAL TO
,&#x02AAE;,EQUALS SIGN WITH BUMPY ABOVE
\preceq,&#x02AAF;,PRECEDES ABOVE SINGLE-LINE EQUALS SIGN
\succeq,&#x02AB0;,SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN
,&#x02AB1;,PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO
,&#x02AB2;,SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO
\preceqq,&#x02AB3;,PRECEDES ABOVE EQUALS SIGN
\succeqq,&#x02AB4;,SUCCEEDS ABOVE EQUALS SIGN
,&#x02AB5;,PRECEDES ABOVE NOT EQUAL TO
,&#x02AB6;,SUCCEEDS ABOVE NOT EQUAL TO
\precapprox,&#x02AB7;,PRECEDES ABOVE ALMOST EQUAL TO
\succapprox,&#x02AB8;,SUCCEEDS ABOVE ALMOST EQUAL TO
\precnapprox,&#x02AB9;,PRECEDES ABOVE NOT ALMOST EQUAL TO
\succnapprox,&#x02ABA;,SUCCEEDS ABOVE NOT ALMOST EQUAL TO
\llcurly,&#x02ABB;,DOUBLE PRECEDES
\ggcurly,&#x02ABC;,DOUBLE SUCCEEDS
,&#x02ABD;,SUBSET WITH DOT
,&#x02ABE;,SUPERSET WITH DOT
,&#x02ABF;,SUBSET WITH PLUS SIGN BELOW
,&#x02AC0;,SUPERSET WITH PLUS SIGN BELOW
,&#x02AC1;,SUBSET WITH MULTIPLICATION SIGN BELOW
,&#x02AC2;,SUPERSET WITH MULTIPLICATION SIGN BELOW
,&#x02AC3;,SUBSET OF OR EQUAL TO WITH DOT ABOVE
,&#x02AC4;,SUPERSET OF OR EQUAL TO WITH DOT ABOVE
\subseteqq,&#x02AC5;,SUBSET OF ABOVE EQUALS SIGN
\supseteqq,&#x02AC6;,SUPERSET OF ABOVE EQUALS SIGN
,&#x02AC7;,SUBSET OF ABOVE TILDE OPERATOR
,&#x02AC8;,SUPERSET OF ABOVE TILDE OPERATOR
,&#x02AC9;,SUBSET OF ABOVE ALMOST EQUAL TO
,&#x02ACA;,SUPERSET OF ABOVE ALMOST EQUAL TO
\subsetneqq,&#x02ACB;,SUBSET OF ABOVE NOT EQUAL TO
\supsetneqq,&#x02ACC;,SUPERSET OF ABOVE NOT EQUAL TO
,&#x02ACD;,SQUARE LEFT OPEN BOX OPERATOR
,&#x02ACE;,SQUARE RIGHT OPEN BOX OPERATOR
,&#x02ACF;,CLOSED SUBSET
,&#x02AD0;,CLOSED SUPERSET
,&#x02AD1;,CLOSED SUBSET OR EQUAL TO
,&#x02AD2;,CLOSED SUPERSET OR EQUAL TO
,&#x02AD3;,SUBSET ABOVE SUPERSET
,&#x02AD4;,SUPERSET ABOVE SUBSET
,&#x02AD5;,SUBSET ABOVE SUBSET
,&#x02AD6;,SUPERSET ABOVE SUPERSET
,&#x02AD7;,SUPERSET BESIDE SUBSET
,&#x02AD8;,SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET
,&#x02AD9;,ELEMENT OF OPENING DOWNWARDS
,&#x02ADA;,PITCHFORK WITH TEE TOP
,&#x02ADB;,TRANSVERSAL INTERSECTION
,&#x02ADC;,FORKING
,&#x02ADD;,NONFORKING
,&#x02ADE;,SHORT LEFT TACK
,&#x02ADF;,SHORT DOWN TACK
,&#x02AE0;,SHORT UP TACK
,&#x02AE1;,PERPENDICULAR WITH S
,&#x02AE2;,VERTICAL BAR TRIPLE RIGHT TURNSTILE
,&#x02AE3;,DOUBLE VERTICAL BAR LEFT TURNSTILE
,&#x02AE4;,VERTICAL BAR DOUBLE LEFT TURNSTILE
,&#x02AE5;,DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE
,&#x02AE6;,LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL
,&#x02AE7;,SHORT DOWN TACK WITH OVERBAR
,&#x02AE8;,SHORT UP TACK WITH UNDERBAR
,&#x02AE9;,SHORT UP TACK ABOVE SHORT DOWN TACK
\Top,&#x02AEA;,DOUBLE DOWN TACK
\Bot,&#x02AEB;,"= \Perp (txfonts), DOUBLE UP TACK"
,&#x02AEC;,DOUBLE STROKE NOT SIGN
,&#x02AED;,REVERSED DOUBLE STROKE NOT SIGN
,&#x02AEE;,DOES NOT DIVIDE WITH REVERSED NEGATION SLASH
,&#x02AEF;,VERTICAL LINE WITH CIRCLE ABOVE
,&#x02AF0;,VERTICAL LINE WITH CIRCLE BELOW
,&#x02AF1;,DOWN TACK WITH CIRCLE BELOW
,&#x02AF2;,PARALLEL WITH HORIZONTAL STROKE
,&#x02AF3;,PARALLEL WITH TILDE OPERATOR
\interleave,&#x02AF4;,TRIPLE VERTICAL BAR BINARY RELATION
,&#x02AF5;,TRIPLE VERTICAL BAR WITH HORIZONTAL STROKE
,&#x02AF6;,TRIPLE COLON OPERATOR
,&#x02AF7;,TRIPLE NESTED LESS-THAN
,&#x02AF8;,TRIPLE NESTED GREATER-THAN
,&#x02AF9;,DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO
,&#x02AFA;,DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO
,&#x02AFB;,TRIPLE SOLIDUS BINARY RELATION
\biginterleave,&#x02AFC;,LARGE TRIPLE VERTICAL BAR OPERATOR
\sslash,&#x02AFD;,"# \varparallel (txfonts), DOUBLE SOLIDUS OPERATOR"
\talloblong,&#x02AFE;,WHITE VERTICAL BAR
,&#x02AFF;,N-ARY WHITE VERTICAL BAR
,&#x02B00;,NORTH EAST WHITE ARROW
,&#x02B01;,NORTH WEST WHITE ARROW
,&#x02B02;,SOUTH EAST WHITE ARROW
,&#x02B03;,SOUTH WEST WHITE ARROW
,&#x02B04;,LEFT RIGHT WHITE ARROW
,&#x02B05;,LEFTWARDS BLACK ARROW
,&#x02B06;,UPWARDS BLACK ARROW
,&#x02B07;,DOWNWARDS BLACK ARROW
,&#x02B08;,NORTH EAST BLACK ARROW
,&#x02B09;,NORTH WEST BLACK ARROW
,&#x02B0A;,SOUTH EAST BLACK ARROW
,&#x02B0B;,SOUTH WEST BLACK ARROW
,&#x02B0C;,LEFT RIGHT BLACK ARROW
,&#x02B0D;,UP DOWN BLACK ARROW
,&#x02B0E;,RIGHTWARDS ARROW WITH TIP DOWNWARDS
,&#x02B0F;,RIGHTWARDS ARROW WITH TIP UPWARDS
,&#x02B10;,LEFTWARDS ARROW WITH TIP DOWNWARDS
,&#x02B11;,LEFTWARDS ARROW WITH TIP UPWARDS
,&#x02B12;,SQUARE WITH TOP HALF BLACK
,&#x02B13;,SQUARE WITH BOTTOM HALF BLACK
,&#x02B14;,SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK
,&#x02B15;,SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK
,&#x02B16;,DIAMOND WITH LEFT HALF BLACK
,&#x02B17;,DIAMOND WITH RIGHT HALF BLACK
,&#x02B18;,DIAMOND WITH TOP HALF BLACK
,&#x02B19;,DIAMOND WITH BOTTOM HALF BLACK
,&#x02B1A;,DOTTED SQUARE
\blacksquare,&#x02B1B;,BLACK LARGE SQUARE
\square,&#x02B1C;,WHITE LARGE SQUARE
,&#x02B1D;,"# \centerdot (amssymb), t \Squaredot (marvosym), BLACK VERY SMALL SQUARE"
,&#x02B1E;,WHITE VERY SMALL SQUARE
,&#x02B1F;,BLACK PENTAGON
,&#x02B20;,WHITE PENTAGON
,&#x02B21;,WHITE HEXAGON
,&#x02B22;,BLACK HEXAGON
,&#x02B23;,HORIZONTAL BLACK HEXAGON
,&#x02B24;,BLACK LARGE CIRCLE
,&#x02B25;,BLACK MEDIUM DIAMOND
,&#x02B26;,WHITE MEDIUM DIAMOND
,&#x02B27;,"# \blacklozenge (amssymb), BLACK MEDIUM LOZENGE"
,&#x02B28;,"# \lozenge (amssymb), WHITE MEDIUM LOZENGE"
,&#x02B29;,BLACK SMALL DIAMOND
,&#x02B2A;,BLACK SMALL LOZENGE
,&#x02B2B;,WHITE SMALL LOZENGE
,&#x02B2C;,BLACK HORIZONTAL ELLIPSE
,&#x02B2D;,WHITE HORIZONTAL ELLIPSE
,&#x02B2E;,BLACK VERTICAL ELLIPSE
,&#x02B2F;,WHITE VERTICAL ELLIPSE
,&#x02B30;,LEFT ARROW WITH SMALL CIRCLE
,&#x02B31;,THREE LEFTWARDS ARROWS
,&#x02B32;,LEFT ARROW WITH CIRCLED PLUS
,&#x02B33;,LONG LEFTWARDS SQUIGGLE ARROW
,&#x02B34;,LEFTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE
,&#x02B35;,LEFTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE
,&#x02B36;,LEFTWARDS TWO-HEADED ARROW FROM BAR
,&#x02B37;,leftwards two-headed triple-dash arrow
,&#x02B38;,LEFTWARDS ARROW WITH DOTTED STEM
,&#x02B39;,LEFTWARDS ARROW WITH TAIL WITH VERTICAL STROKE
,&#x02B3A;,LEFTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
,&#x02B3B;,LEFTWARDS TWO-HEADED ARROW WITH TAIL
,&#x02B3C;,LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE
,&#x02B3D;,LEFTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE
,&#x02B3E;,LEFTWARDS ARROW THROUGH X
,&#x02B3F;,WAVE ARROW POINTING DIRECTLY LEFT
,&#x02B40;,EQUALS SIGN ABOVE LEFTWARDS ARROW
,&#x02B41;,REVERSE TILDE OPERATOR ABOVE LEFTWARDS ARROW
,&#x02B42;,LEFTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
,&#x02B43;,rightwards arrow through less-than
,&#x02B44;,rightwards arrow through subset
,&#x02B45;,LEFTWARDS QUADRUPLE ARROW
,&#x02B46;,RIGHTWARDS QUADRUPLE ARROW
,&#x02B47;,REVERSE TILDE OPERATOR ABOVE RIGHTWARDS ARROW
,&#x02B48;,RIGHTWARDS ARROW ABOVE REVERSE ALMOST EQUAL TO
,&#x02B49;,TILDE OPERATOR ABOVE LEFTWARDS ARROW
,&#x02B4A;,LEFTWARDS ARROW ABOVE ALMOST EQUAL TO
,&#x02B4B;,LEFTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
,&#x02B4C;,righttwards arrow above reverse tilde operator
,&#x02B50;,WHITE MEDIUM STAR
,&#x02B51;,black medium star
,&#x02B52;,WHITE SMALL STAR
,&#x02B53;,BLACK RIGHT-POINTING PENTAGON
,&#x02B54;,WHITE RIGHT-POINTING PENTAGON
,&#x03008;,"# \langle, LEFT ANGLE BRACKET (deprecated for math use)"
,&#x03009;,"# \rangle, RIGHT ANGLE BRACKET (deprecated for math use)"
,&#x03012;,POSTAL MARK
,&#x03014;,left broken bracket
,&#x03015;,right broken bracket
