Latex,Mathml,Description
,&#x00020;,SPACE
,&#x0207D;,SUPERSCRIPT LEFT PARENTHESIS subscript operators
,&#x0207E;,SUPERSCRIPT RIGHT PARENTHESIS subscript operators
,&#x0208A;,SUBSCRIPT PLUS SIGN superscript operators
,&#x0208B;,SUBSCRIPT MINUS superscript operators
,&#x0208C;,SUBSCRIPT EQUALS SIGN superscript operators
,&#x0208D;,SUBSCRIPT LEFT PARENTHESIS superscript operators
,&#x0208E;,SUBSCRIPT RIGHT PARENTHESIS superscript operators
,&#x020AC;,EURO SIGN
\lvec,&#x020D0;,COMBINING LEFT HARPOON ABOVE
\vec,&#x020D1;,COMBINING RIGHT HARPOON ABOVE
,&#x020D2;,COMBINING LONG VERTICAL LINE OVERLAY
,&#x020D3;,COMBINING SHORT VERTICAL LINE OVERLAY
,&#x020D4;,COMBINING ANTICLOCKWISE ARROW ABOVE
,&#x020D5;,COMBINING CLOCKWISE ARROW ABOVE
\LVec,&#x020D6;,"# \overleftarrow, COMBINING LEFT ARROW ABOVE"
\vec,&#x020D7;,"= \Vec (wrisym), # \overrightarrow, COMBINING RIGHT ARROW ABOVE"
,&#x020D8;,COMBINING RING OVERLAY
,&#x020D9;,COMBINING CLOCKWISE RING OVERLAY
,&#x020DA;,COMBINING ANTICLOCKWISE RING OVERLAY
\dddot,&#x020DB;,"= \DDDot (wrisym), COMBINING THREE DOTS ABOVE"
\ddddot,&#x020DC;,COMBINING FOUR DOTS ABOVE
,&#x020DD;,COMBINING ENCLOSING CIRCLE
,&#x020DE;,COMBINING ENCLOSING SQUARE
,&#x020DF;,COMBINING ENCLOSING DIAMOND
\overleftrightarrow,&#x020E1;,COMBINING LEFT RIGHT ARROW ABOVE
,&#x020E4;,COMBINING ENCLOSING UPWARD POINTING TRIANGLE
,&#x020E5;,COMBINING REVERSE SOLIDUS OVERLAY
,&#x020E6;,"COMBINING DOUBLE VERTICAL STROKE OVERLAY, z notation finite function diacritic"
,&#x020E7;,COMBINING ANNUITY SYMBOL
,&#x020E8;,COMBINING TRIPLE UNDERDOT
,&#x020E9;,COMBINING WIDE BRIDGE ABOVE
,&#x020EA;,COMBINING LEFTWARDS ARROW OVERLAY
,&#x020EB;,COMBINING LONG DOUBLE SOLIDUS OVERLAY
,&#x020EC;,COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
,&#x020ED;,COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
\underleftarrow,&#x020EE;,COMBINING LEFT ARROW BELOW
\underrightarrow,&#x020EF;,COMBINING RIGHT ARROW BELOW
,&#x020F0;,COMBINING ASTERISK ABOVE
\mathbb{C},&#x02102;,"= \mathds{C} (dsfont), open face C"
\Euler,&#x02107;,EULER CONSTANT
\mathcal{g},&#x0210A;,"/scr g, script small letter g"
\mathcal{H},&#x0210B;,hamiltonian (script capital H)
\mathfrak{H},&#x0210C;,"/frak H, black-letter capital H"
\mathbb{H},&#x0210D;,"= \mathds{H} (dsfont), open face capital H"
,&#x0210E;,"# h, Planck constant"
\hslash,&#x0210F;,"=\HBar (wrisym), #\hbar, Planck's h over 2pi"
\mathcal{I},&#x02110;,"/scr I, script capital I"
\Im,&#x02111;,"= \mathfrak{I} (eufrak), imaginary part"
\mathcal{L},&#x02112;,lagrangian (script capital L)
\ell,&#x02113;,cursive small l
\mathbb{N},&#x02115;,"= \mathds{N} (dsfont), open face N"
\wp,&#x02118;,weierstrass p
\mathbb{P},&#x02119;,"= \mathds{P} (dsfont), open face P"
\mathbb{Q},&#x0211A;,"= \mathds{Q} (dsfont), open face Q"
\mathcal{R},&#x0211B;,"/scr R, script capital R"
\Re,&#x0211C;,"= \mathfrak{R} (eufrak), real part"
